report_date,experiment,family,preset,bet_size,seed_start,seed_count,inicio,fim,history,qtd_por_concurso,bet_cost,relative_cost,media,max,min,media_por_real,maximo_por_real
2026-04-07,Random 15,random,,15,42,2,100,120,50,10,3.50,1.000000,9.016667,13,5,2.576190,3.714286
2026-04-07,Statistical balanced 15,statistical,balanced,15,42,2,100,120,50,10,3.50,1.000000,8.888095,13,5,2.539456,3.714286
2026-04-07,Random 16,random,,16,42,2,100,120,50,10,56.00,16.000000,9.614286,13,6,0.171684,0.232143
2026-04-07,Statistical balanced 16,statistical,balanced,16,42,2,100,120,50,10,56.00,16.000000,9.542857,13,6,0.170408,0.232143
2026-04-07,Random 15,random,,15,42,1,100,101,50,1,3.50,1.000000,9.500000,10,9,2.714286,2.857143
2026-04-07,Intentionality_Vector 15,intentionality_vector,,15,42,1,100,101,50,1,3.50,1.000000,10.000000,11,9,2.857143,3.142857
2026-04-07,Statistical balanced 15,statistical,balanced,15,42,1,100,101,50,1,3.50,1.000000,8.000000,9,7,2.285714,2.571429
2026-04-07,Random 16,random,,16,42,1,100,101,50,1,56.00,16.000000,10.000000,11,9,0.178571,0.196429
2026-04-07,Intentionality_Vector 16,intentionality_vector,,16,42,1,100,101,50,1,56.00,16.000000,11.000000,12,10,0.196429,0.214286
2026-04-07,Statistical balanced 16,statistical,balanced,16,42,1,100,101,50,1,56.00,16.000000,9.000000,10,8,0.160714,0.178571
2026-04-07,Random 15,random,,15,42,1,100,101,50,10,3.50,1.000000,9.100000,12,5,2.600000,3.428571
2026-04-07,Intentionality Vector 15,intentionality_vector,,15,42,1,100,101,50,10,3.50,1.000000,9.450000,11,7,2.700000,3.142857
2026-04-07,Statistical balanced 15,statistical,balanced,15,42,1,100,101,50,10,3.50,1.000000,8.800000,11,6,2.514286,3.142857
2026-04-07,Random 16,random,,16,42,1,100,101,50,10,56.00,16.000000,9.850000,12,7,0.175893,0.214286
2026-04-07,Intentionality Vector 16,intentionality_vector,,16,42,1,100,101,50,10,56.00,16.000000,10.100000,12,8,0.180357,0.214286
2026-04-07,Statistical balanced 16,statistical,balanced,16,42,1,100,101,50,10,56.00,16.000000,9.650000,12,8,0.172321,0.214286
2026-04-07,Random 15,random,,15,42,1,100,101,50,10,3.50,1.000000,9.100000,12,5,2.600000,3.428571
2026-04-07,Intentionality Vector 15,intentionality_vector,,15,42,1,100,101,50,10,3.50,1.000000,9.150000,11,7,2.614286,3.142857
2026-04-07,Statistical balanced 15,statistical,balanced,15,42,1,100,101,50,10,3.50,1.000000,8.800000,11,6,2.514286,3.142857
2026-04-07,Random 16,random,,16,42,1,100,101,50,10,56.00,16.000000,9.850000,12,7,0.175893,0.214286
2026-04-07,Intentionality Vector 16,intentionality_vector,,16,42,1,100,101,50,10,56.00,16.000000,10.100000,12,8,0.180357,0.214286
2026-04-07,Statistical balanced 16,statistical,balanced,16,42,1,100,101,50,10,56.00,16.000000,9.650000,12,8,0.172321,0.214286
2026-04-07,Random 15,random,,15,42,1,100,101,50,10,3.50,1.000000,9.100000,12,5,2.600000,3.428571
2026-04-07,Intentionality Vector 15,intentionality_vector,,15,42,1,100,101,50,10,3.50,1.000000,9.300000,11,7,2.657143,3.142857
2026-04-07,Statistical balanced 15,statistical,balanced,15,42,1,100,101,50,10,3.50,1.000000,8.800000,11,6,2.514286,3.142857
2026-04-07,Random 16,random,,16,42,1,100,101,50,10,56.00,16.000000,9.850000,12,7,0.175893,0.214286
2026-04-07,Intentionality Vector 16,intentionality_vector,,16,42,1,100,101,50,10,56.00,16.000000,10.300000,12,9,0.183929,0.214286
2026-04-07,Statistical balanced 16,statistical,balanced,16,42,1,100,101,50,10,56.00,16.000000,9.650000,12,8,0.172321,0.214286
2026-04-07,Random 15,random,,15,42,1,100,100,50,10,3.50,1.000000,8.900000,12,5,2.542857,3.428571
2026-04-07,Intentionality Vector 15,intentionality_vector,,15,42,1,100,100,50,10,3.50,1.000000,9.100000,10,7,2.600000,2.857143
2026-04-07,Statistical balanced 15,statistical,balanced,15,42,1,100,100,50,10,3.50,1.000000,8.700000,11,7,2.485714,3.142857
2026-04-07,Random 16,random,,16,42,1,100,100,50,10,56.00,16.000000,10.000000,12,9,0.178571,0.214286
2026-04-07,Intentionality Vector 16,intentionality_vector,,16,42,1,100,100,50,10,56.00,16.000000,10.700000,12,9,0.191071,0.214286
2026-04-07,Statistical balanced 16,statistical,balanced,16,42,1,100,100,50,10,56.00,16.000000,9.800000,12,8,0.175000,0.214286
2026-04-07,Random 15,random,,15,42,1,100,100,50,20,3.50,1.000000,8.900000,12,5,2.542857,3.428571
2026-04-07,Intentionality Vector 15,intentionality_vector,,15,42,1,100,100,50,20,3.50,1.000000,9.550000,11,7,2.728571,3.142857
2026-04-07,Statistical balanced 15,statistical,balanced,15,42,1,100,100,50,20,3.50,1.000000,8.700000,11,6,2.485714,3.142857
2026-04-07,Random 16,random,,16,42,1,100,100,50,20,56.00,16.000000,9.950000,12,7,0.177679,0.214286
2026-04-07,Intentionality Vector 16,intentionality_vector,,16,42,1,100,100,50,20,56.00,16.000000,10.450000,12,8,0.186607,0.214286
2026-04-07,Statistical balanced 16,statistical,balanced,16,42,1,100,100,50,20,56.00,16.000000,9.600000,12,8,0.171429,0.214286
2026-04-07,Random 15,random,,15,42,1,100,101,50,1,3.50,1.000000,9.500000,10,9,2.714286,2.857143
2026-04-07,Intentionality Vector 15,intentionality_vector,,15,42,1,100,101,50,1,3.50,1.000000,9.000000,9,9,2.571429,2.571429
2026-04-07,Quantum Inspired 15,quantum_inspired,,15,42,1,100,101,50,1,3.50,1.000000,9.000000,9,9,2.571429,2.571429
2026-04-07,Statistical balanced 15,statistical,balanced,15,42,1,100,101,50,1,3.50,1.000000,8.000000,9,7,2.285714,2.571429
2026-04-07,Random 16,random,,16,42,1,100,101,50,1,56.00,16.000000,10.000000,11,9,0.178571,0.196429
2026-04-07,Intentionality Vector 16,intentionality_vector,,16,42,1,100,101,50,1,56.00,16.000000,11.000000,12,10,0.196429,0.214286
2026-04-07,Quantum Inspired 16,quantum_inspired,,16,42,1,100,101,50,1,56.00,16.000000,9.500000,10,9,0.169643,0.178571
2026-04-07,Statistical balanced 16,statistical,balanced,16,42,1,100,101,50,1,56.00,16.000000,9.000000,10,8,0.160714,0.178571
2026-04-07,Random 15,random,,15,42,1,100,100,50,20,3.50,1.000000,8.900000,12,5,2.542857,3.428571
2026-04-07,Intentionality Vector 15,intentionality_vector,,15,42,1,100,100,50,20,3.50,1.000000,9.550000,11,7,2.728571,3.142857
2026-04-07,Quantum Inspired 15,quantum_inspired,,15,42,1,100,100,50,20,3.50,1.000000,9.050000,11,7,2.585714,3.142857
2026-04-07,Statistical balanced 15,statistical,balanced,15,42,1,100,100,50,20,3.50,1.000000,8.700000,11,6,2.485714,3.142857
2026-04-07,Random 16,random,,16,42,1,100,100,50,20,56.00,16.000000,9.950000,12,7,0.177679,0.214286
2026-04-07,Intentionality Vector 16,intentionality_vector,,16,42,1,100,100,50,20,56.00,16.000000,10.450000,12,8,0.186607,0.214286
2026-04-07,Quantum Inspired 16,quantum_inspired,,16,42,1,100,100,50,20,56.00,16.000000,10.050000,12,8,0.179464,0.214286
2026-04-07,Statistical balanced 16,statistical,balanced,16,42,1,100,100,50,20,56.00,16.000000,9.600000,12,8,0.171429,0.214286
2026-04-07,Random 15,random,,15,42,1,100,100,50,20,3.50,1.000000,8.900000,12,5,2.542857,3.428571
2026-04-07,Intentionality Vector 15,intentionality_vector,,15,42,1,100,100,50,20,3.50,1.000000,9.550000,11,7,2.728571,3.142857
2026-04-07,Quantum Inspired 15,quantum_inspired,,15,42,1,100,100,50,20,3.50,1.000000,9.050000,11,7,2.585714,3.142857
2026-04-07,Statistical balanced 15,statistical,balanced,15,42,1,100,100,50,20,3.50,1.000000,8.700000,11,6,2.485714,3.142857
2026-04-07,Random 16,random,,16,42,1,100,100,50,20,56.00,16.000000,9.950000,12,7,0.177679,0.214286
2026-04-07,Intentionality Vector 16,intentionality_vector,,16,42,1,100,100,50,20,56.00,16.000000,10.450000,12,8,0.186607,0.214286
2026-04-07,Quantum Inspired 16,quantum_inspired,,16,42,1,100,100,50,20,56.00,16.000000,10.050000,12,8,0.179464,0.214286
2026-04-07,Statistical balanced 16,statistical,balanced,16,42,1,100,100,50,20,56.00,16.000000,9.600000,12,8,0.171429,0.214286
2026-04-07,Random 15,random,,15,42,1,100,100,50,1,3.50,1.000000,9.000000,9,9,2.571429,2.571429
2026-04-07,Intentionality Vector 15,intentionality_vector,,15,42,1,100,100,50,1,3.50,1.000000,9.000000,9,9,2.571429,2.571429
2026-04-07,Quantum Inspired 15,quantum_inspired,,15,42,1,100,100,50,1,3.50,1.000000,9.000000,9,9,2.571429,2.571429
2026-04-07,Quantum 15,quantum,,15,42,1,100,100,50,1,3.50,1.000000,9.000000,9,9,2.571429,2.571429
2026-04-07,Statistical balanced 15,statistical,balanced,15,42,1,100,100,50,1,3.50,1.000000,7.000000,7,7,2.000000,2.000000
2026-04-07,Random 16,random,,16,42,1,100,100,50,1,56.00,16.000000,9.000000,9,9,0.160714,0.160714
2026-04-07,Intentionality Vector 16,intentionality_vector,,16,42,1,100,100,50,1,56.00,16.000000,12.000000,12,12,0.214286,0.214286
2026-04-07,Quantum Inspired 16,quantum_inspired,,16,42,1,100,100,50,1,56.00,16.000000,10.000000,10,10,0.178571,0.178571
2026-04-07,Quantum 16,quantum,,16,42,1,100,100,50,1,56.00,16.000000,10.000000,10,10,0.178571,0.178571
2026-04-07,Statistical balanced 16,statistical,balanced,16,42,1,100,100,50,1,56.00,16.000000,8.000000,8,8,0.142857,0.142857
2026-04-07,Random 15,random,,15,42,1,100,100,50,20,3.50,1.000000,8.900000,12,5,2.542857,3.428571
2026-04-07,Intentionality Vector 15,intentionality_vector,,15,42,1,100,100,50,20,3.50,1.000000,9.550000,11,7,2.728571,3.142857
2026-04-07,Quantum Inspired 15,quantum_inspired,,15,42,1,100,100,50,20,3.50,1.000000,9.050000,11,7,2.585714,3.142857
2026-04-07,Quantum 15,quantum,,15,42,1,100,100,50,20,3.50,1.000000,9.250000,12,7,2.642857,3.428571
2026-04-07,Statistical balanced 15,statistical,balanced,15,42,1,100,100,50,20,3.50,1.000000,8.700000,11,6,2.485714,3.142857
2026-04-07,Random 16,random,,16,42,1,100,100,50,20,56.00,16.000000,9.950000,12,7,0.177679,0.214286
2026-04-07,Intentionality Vector 16,intentionality_vector,,16,42,1,100,100,50,20,56.00,16.000000,10.450000,12,8,0.186607,0.214286
2026-04-07,Quantum Inspired 16,quantum_inspired,,16,42,1,100,100,50,20,56.00,16.000000,10.050000,12,8,0.179464,0.214286
2026-04-07,Quantum 16,quantum,,16,42,1,100,100,50,20,56.00,16.000000,10.050000,12,8,0.179464,0.214286
2026-04-07,Statistical balanced 16,statistical,balanced,16,42,1,100,100,50,20,56.00,16.000000,9.600000,12,8,0.171429,0.214286
2026-04-07,Random 15,random,,15,42,1,100,100,50,1,3.50,1.000000,9.000000,9,9,2.571429,2.571429
2026-04-07,Intentionality Vector 15,intentionality_vector,,15,42,1,100,100,50,1,3.50,1.000000,9.000000,9,9,2.571429,2.571429
2026-04-07,Quantum Inspired 15,quantum_inspired,,15,42,1,100,100,50,1,3.50,1.000000,9.000000,9,9,2.571429,2.571429
2026-04-07,Quantum 15,quantum,,15,42,1,100,100,50,1,3.50,1.000000,9.000000,9,9,2.571429,2.571429
2026-04-07,Statistical balanced 15,statistical,balanced,15,42,1,100,100,50,1,3.50,1.000000,7.000000,7,7,2.000000,2.000000
2026-04-07,Random 16,random,,16,42,1,100,100,50,1,56.00,16.000000,9.000000,9,9,0.160714,0.160714
2026-04-07,Intentionality Vector 16,intentionality_vector,,16,42,1,100,100,50,1,56.00,16.000000,12.000000,12,12,0.214286,0.214286
2026-04-07,Quantum Inspired 16,quantum_inspired,,16,42,1,100,100,50,1,56.00,16.000000,10.000000,10,10,0.178571,0.178571
2026-04-07,Quantum 16,quantum,,16,42,1,100,100,50,1,56.00,16.000000,10.000000,10,10,0.178571,0.178571
2026-04-07,Statistical balanced 16,statistical,balanced,16,42,1,100,100,50,1,56.00,16.000000,8.000000,8,8,0.142857,0.142857
